date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:35	12861/12861	---M--	200	added ('OK')	image/jpeg	etag:%2261f3ae7e-323d%22	https://layerdrops.com/notechhtml/main-html/assets/images/blog/comment-1-1.jpg	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/images/blog/comment-1-1.jpg	(from https://layerdrops.com/notechhtml/main-html/blog-details.html)
17:56:36	14570/14570	---M--	200	added ('OK')	image/jpeg	etag:%2261f3aeac-38ea%22	https://layerdrops.com/notechhtml/main-html/assets/images/blog/comment-1-2.jpg	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/images/blog/comment-1-2.jpg	(from https://layerdrops.com/notechhtml/main-html/blog-details.html)
17:56:37	33467/33467	---M--	200	added ('OK')	image/jpeg	etag:%226202ab78-82bb%22	https://layerdrops.com/notechhtml/main-html/assets/images/resources/contact-details-img.jpg	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/images/resources/contact-details-img.jpg	(from https://layerdrops.com/notechhtml/main-html/contact.html)
17:57:20	177585/177585	URF---	200	added ('OK%20(cached)')	image/jpeg		https://layerdrops.com/notechhtml/main-html/assets/images/backgrounds/main-slider-1-1.jpg	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/images/backgrounds/main-slider-1-1.jpg	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:57:21	187538/187538	URF---	200	added ('OK%20(cached)')	image/jpeg		https://layerdrops.com/notechhtml/main-html/assets/images/backgrounds/main-slider-1-2.jpg	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/images/backgrounds/main-slider-1-2.jpg	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:57:21	168689/168689	URF---	200	added ('OK%20(cached)')	image/jpeg		https://layerdrops.com/notechhtml/main-html/assets/images/backgrounds/main-slider-1-3.jpg	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/images/backgrounds/main-slider-1-3.jpg	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:57:22	237321/237321	URF---	200	added ('OK%20(cached)')	image/jpeg		https://layerdrops.com/notechhtml/main-html/assets/images/backgrounds/business-from-bg.jpg	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/images/backgrounds/business-from-bg.jpg	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:57:24	89501/89501	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d5c-15d9d%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/jquery/jquery-3.6.0.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/jquery/jquery-3.6.0.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:57:24	80427/80427	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2261dd5d56-13a2b%22	https://layerdrops.com/notechhtml/main-html/assets/vendors/bootstrap/js/bootstrap.bundle.min.js	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/vendors/bootstrap/js/bootstrap.bundle.min.js	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
17:58:04	201254/201254	URF---	200	added ('OK%20(cached)')	image/png		https://layerdrops.com/notechhtml/main-html/assets/images/backgrounds/funfact-bg-1-1.png	/home/tp/websites/braino/layerdrops.com/notechhtml/main-html/assets/images/backgrounds/funfact-bg-1-1.png	(from https://layerdrops.com/notechhtml/main-html/index-dark.html)
